Gene 1 ID,Gene 2 ID,Score
ENSG00000250479,ENSG00000100075,1.0
ENSG00000250479,ENSG00000250479,1.0
ENSG00000100320,ENSG00000100320,1.0
ENSG00000100014,ENSG00000100379,1.0
ENSG00000099942,ENSG00000186716,1.0
ENSG00000100393,ENSG00000128272,1.0
ENSG00000100393,ENSG00000100393,1.0
ENSG00000100393,ENSG00000100297,1.0
ENSG00000128271,ENSG00000128271,1.0
ENSG00000100012,ENSG00000133488,1.0
ENSG00000100426,ENSG00000100426,1.0
ENSG00000184436,ENSG00000184436,1.0
ENSG00000077942,ENSG00000077942,1.0
ENSG00000100387,ENSG00000100379,1.0
ENSG00000100387,ENSG00000100387,1.0
ENSG00000286070,ENSG00000286070,1.0
ENSG00000100029,ENSG00000100029,1.0
ENSG00000100292,ENSG00000100292,1.0
ENSG00000015475,ENSG00000015475,1.0
ENSG00000196236,ENSG00000196236,1.0
ENSG00000128272,ENSG00000128272,1.0
ENSG00000099949,ENSG00000183773,1.0
ENSG00000099949,ENSG00000099949,1.0
ENSG00000100376,ENSG00000100376,1.0
ENSG00000100335,ENSG00000100335,1.0
ENSG00000100379,ENSG00000100379,1.0
